0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
443,54422,6,13,0,0.015077332655588785,0.015077332655588785,0.025856344947380528,0.025856344947380528,0.0,0.0,0.08963298797607422,0.08963298797607422,0,0,423.7692307692308,0,852.0182513254724,0,66,0,2962,0,5509,0,0,0,0,0,0,0,0
443,32988,6,19,0,9.474976340929667,9.474976340929667,21.184906071407486,21.184906071407486,0.0,0.0,58.899330139160156,58.899330139160156,0,0,316.2631578947368,0,546.7448016363242,0,66,0,1699,0,6009,0,0,0,0,0,0,0,0
48645,53,17,2,0,1.9073486328125e-06,1.9073486328125e-06,0.0,0.0,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,1.9073486328125e-06,0,0,77.0,0,0.0,0,77,0,77,0,154,0,0,0,0,0,0,0,0
54879,53,17,2,0,0.00010585784912109375,0.00010585784912109375,0.0,0.0,0.00010585784912109375,0.00010585784912109375,0.00010585784912109375,0.00010585784912109375,0,0,78.0,0,0.0,0,78,0,78,0,156,0,0,0,0,0,0,0,0
53,48645,17,2,0,0.001847982406616211,0.001847982406616211,0.0,0.0,0.001847982406616211,0.001847982406616211,0.001847982406616211,0.001847982406616211,0,0,116.0,0,6.0,0,110,0,122,0,232,0,0,0,0,0,0,0,0
53,54879,17,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,118.0,0,6.0,0,112,0,124,0,236,0,0,0,0,0,0,0,0
58261,443,17,25,0,1.8368472059567769,1.8368472059567769,4.280357085532966,4.280357085532966,0.00011086463928222656,0.00011086463928222656,15.111191034317017,15.111191034317017,0,0,457.32,0,503.5157769127001,0,73,0,1294,0,11433,0,0,0,0,0,0,0,0
58819,443,17,8,0,0.03589715276445661,0.03589715276445661,0.02842448562985894,0.02842448562985894,0.0002510547637939453,0.0002510547637939453,0.08342099189758301,0.08342099189758301,0,0,556.625,0,571.8465566697066,0,73,0,1294,0,4453,0,0,0,0,0,0,0,0
443,58261,17,45,0,1.0018460479649631,1.0018460479649631,2.3725589632138178,2.3725589632138178,0.0,0.0,10.384810209274292,10.384810209274292,0,0,449.15555555555557,0,438.6303407226512,0,66,0,1294,0,20212,0,0,0,0,0,0,0,0
443,58819,17,22,0,1.096615575608753,1.096615575608753,2.330384503953228,2.330384503953228,0.0,0.0,7.958039999008179,7.958039999008179,0,0,836.0909090909091,0,385.65527577817113,0,68,0,1294,0,18394,0,0,0,0,0,0,0,0
52866,443,6,20,0,8.971786047282972,8.971786047282972,20.704680913855082,20.704680913855082,7.581710815429688e-05,7.581710815429688e-05,58.74843192100525,58.74843192100525,0,0,177.95,0,411.67201447268684,0,66,0,1969,0,3559,0,0,0,0,0,0,0,0
443,52866,6,14,0,13.110649604063768,13.110649604063768,23.939236640124967,23.939236640124967,0.0,0.0,58.74028491973877,58.74028491973877,0,0,552.5,0,803.8866080309017,0,66,0,2866,0,7735,0,0,0,0,0,0,0,0
44982,53,17,2,0,0.0003299713134765625,0.0003299713134765625,0.0,0.0,0.0003299713134765625,0.0003299713134765625,0.0003299713134765625,0.0003299713134765625,0,0,75.0,0,0.0,0,75,0,75,0,150,0,0,0,0,0,0,0,0
53,44982,17,2,0,0.02827000617980957,0.02827000617980957,0.0,0.0,0.02827000617980957,0.02827000617980957,0.02827000617980957,0.02827000617980957,0,0,112.0,0,6.0,0,106,0,118,0,224,0,0,0,0,0,0,0,0
55778,443,6,12,0,0.020802172747525303,0.020802172747525303,0.021199150087406526,0.021199150087406526,2.5033950805664062e-05,2.5033950805664062e-05,0.06750106811523438,0.06750106811523438,0,0,240.41666666666666,0,521.3529607878162,0,54,0,1966,0,2885,0,0,0,0,0,0,0,0
55782,443,6,14,0,0.017255526322584886,0.017255526322584886,0.019881859163981407,0.019881859163981407,0.00013589859008789062,0.00013589859008789062,0.07076382637023926,0.07076382637023926,0,0,213.78571428571428,0,487.0670500295517,0,54,0,1966,0,2993,0,0,0,0,0,0,0,0
55794,443,6,14,0,0.017414074677687425,0.017414074677687425,0.01707862030908993,0.01707862030908993,0.00012302398681640625,0.00012302398681640625,0.05760598182678223,0.05760598182678223,0,0,249.5,0,493.2137684904705,0,54,0,1966,0,3493,0,0,0,0,0,0,0,0
55806,443,6,12,0,0.01874253966591575,0.01874253966591575,0.024532834889555204,0.024532834889555204,0.0001239776611328125,0.0001239776611328125,0.08990001678466797,0.08990001678466797,0,0,239.41666666666666,0,521.6979423531932,0,54,0,1966,0,2873,0,0,0,0,0,0,0,0
